Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,HT1Readable,HT1Credible,HT1Positive,HT1Quality,HT1Creative,CT1Readable,CT1Credible,CT1Positive,CT1Quality,CT1Creative,HT2Readable,HT2Credible,HT2Positive,HT2Quality,HT2Creative,CT2Readable,CT2Credible,CT2Positive,CT2Quality,CT2Creative,HT3Readable,HT3Credible,HT3Positive,HT3Quality,HT3Creative,CT3Readable,CT3Credible,CT3Positive,CT3Quality,CT3Creative,AC1,AC2,AC3,AC4,AC5,HT4Readable,HT4Credible,HT4Positive,HT4Quality,HT4Creative,CT4Readable,CT4Credible,CT4Positive,CT4Quality,CT4Creative,HT5Readable,HT5Credible,HT5Positive,HT5Quality,HT5Creative,CT5Readable,CT5Credible,CT5Positive,CT5Quality,CT4Creative,SurveyID
3/12/2023 19:45,3/12/2023 19:46,Survey Preview,,100,39,TRUE,3/12/2023 19:46,R_2S7RjYAdshBwJ40,,,,,34.2243,-77.8849,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV_ehCPpnOdI0dWLkO
3/12/2023 20:12,3/12/2023 20:13,Survey Preview,,100,59,TRUE,3/12/2023 20:13,R_1QGwNl6R6eR7dWU,,,,,34.2243,-77.8849,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV_ehCPpnOdI0dWLkO
3/12/2023 20:13,3/12/2023 20:13,Survey Preview,,100,19,TRUE,3/12/2023 20:13,R_2QQygj9LSgbNIbs,,,,,34.2243,-77.8849,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV_ehCPpnOdI0dWLkO
3/15/2023 19:53,3/15/2023 19:55,Survey Preview,,100,118,TRUE,3/15/2023 19:55,R_9ReEWjFa6TuoRkl,,,,,25.7689,-80.1946,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV_ehCPpnOdI0dWLkO
3/16/2023 22:28,3/16/2023 22:29,Survey Preview,,100,42,TRUE,3/16/2023 22:29,R_10Hk565CI7YQMu8,,,,,34.2243,-77.8849,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV_ehCPpnOdI0dWLkO
3/16/2023 20:36,3/16/2023 22:49,IP Address,104.188.97.31,100,7953,TRUE,3/16/2023 22:49,R_3oGZHPkBLC0gzkW,,,,,34.2243,-77.8849,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV_ehCPpnOdI0dWLkO
3/16/2023 22:53,3/16/2023 22:54,IP Address,104.188.97.31,100,30,TRUE,3/16/2023 22:54,R_1ezTSwDr45h5e1u,,,,,34.2243,-77.8849,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV_ehCPpnOdI0dWLkO
3/16/2023 23:15,3/16/2023 23:16,Survey Preview,,100,66,TRUE,3/16/2023 23:16,R_3nI4YxTFcOuIdaS,,,,,34.2243,-77.8849,preview,EN,,,0,0,,,1,2,,2,,,,,,,,4,4,4,4,,,,,,4,5,5,5,5,,,,,,4,,,5,5,,,,,,5,,5,5,5,4,4,4,4,4,,,,,,SV_ehCPpnOdI0dWLkO
3/16/2023 23:17,3/16/2023 23:18,Survey Preview,,100,84,TRUE,3/16/2023 23:18,R_3hGVHT4anjYgPBI,,,,,34.2243,-77.8849,preview,EN,,TRUE,100,0,3/17/2023 5:15,,,,,,,4,5,5,5,5,,,,,,5,5,5,5,5,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,5,5,5,5,5,SV_ehCPpnOdI0dWLkO
3/17/2023 3:24,3/17/2023 3:27,IP Address,87.188.35.70,100,162,TRUE,3/17/2023 3:27,R_tSQ5QCOSRicsaqJ,,,,,51.4444,7.0114,anonymous,EN,1,,0,0,,,,,,,,5,5,5,5,5,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,4,4,4,4,4,5,5,5,5,5,,,,,,5,5,5,5,5,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:29,3/17/2023 3:31,IP Address,49.43.40.159,100,105,TRUE,3/17/2023 3:31,R_snEJAiw6Muj9PeF,,,,,22.717,75.8337,anonymous,EN,1,,0,0,,,4,4,4,4,4,,,,,,5,5,5,5,5,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,,,,,,5,5,5,4,4,,,,,,4,,,4,4,SV_ehCPpnOdI0dWLkO
3/17/2023 3:30,3/17/2023 3:33,IP Address,105.245.168.126,100,150,TRUE,3/17/2023 3:33,R_2wSsK3zsI2xyI6K,,,,,-29.9056,30.9405,anonymous,EN,0.800000012,,0,0,,,1,5,5,5,5,,,,,,,,,,,5,5,5,5,5,,,,,,5,,1,5,5,4,4,4,4,4,,,,,,5,5,5,5,5,,,,,,5,5,5,5,5,SV_ehCPpnOdI0dWLkO
3/17/2023 3:30,3/17/2023 3:33,IP Address,79.193.108.164,100,152,TRUE,3/17/2023 3:33,R_3hDRc6upuGsdzvu,,,,,49.0078,8.4001,anonymous,EN,0.899999976,,0,0,,,,,,,,5,4,4,5,,4,4,4,4,,,,,,,4,,,,,,,,,,4,4,,4,4,,,,,,4,4,4,5,5,,,,,,4,4,,2,4,SV_ehCPpnOdI0dWLkO
3/17/2023 3:30,3/17/2023 3:33,IP Address,177.174.215.147,100,192,TRUE,3/17/2023 3:33,R_31pasKZ26l2DLxs,,,,,-15.7792,-47.9341,anonymous,EN,1,,0,0,,,,,,,,1,2,,4,5,4,4,4,,4,,,,,,4,2,,,,,,,,,4,4,4,4,4,4,4,4,5,5,,,,,,,,,,,4,4,4,4,4,SV_ehCPpnOdI0dWLkO
3/17/2023 3:31,3/17/2023 3:33,IP Address,82.132.235.10,100,128,TRUE,3/17/2023 3:33,R_3Gp1u9mOHPWLvcC,,,,,51.5598,-0.0096,anonymous,EN,0.899999976,,0,0,,,,,,,,5,5,5,5,5,5,,,,,,,,,,5,,4,,,,,,,,4,4,4,4,4,,,,,,4,1,1,1,1,5,4,4,4,4,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:30,3/17/2023 3:34,IP Address,47.29.24.209,100,219,TRUE,3/17/2023 3:34,R_25QHYIZsaT7qAhk,,,,,23.8354,91.2818,anonymous,EN,1,,0,0,,,4,2,2,4,,,,,,,1,4,4,4,4,,,,,,,,,,,5,2,,4,,4,4,4,4,4,4,4,4,,,,,,,,5,,,2,4,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:30,3/17/2023 3:34,IP Address,51.186.216.230,100,218,TRUE,3/17/2023 3:34,R_3qDrs6QEWnlZxNs,,,,,53.4798,-2.3307,anonymous,EN,0.899999976,,0,0,,,4,4,5,4,4,,,,,,,,,,,,,,,,4,4,,,,,,,,,4,4,4,4,4,,,,,,4,,4,4,4,,,,,,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:29,3/17/2023 3:34,IP Address,81.98.98.253,100,294,TRUE,3/17/2023 3:34,R_2ANKpGivi3aDIWB,,,,,52.1932,0.1426,anonymous,EN,0.899999976,,0,0,,,4,2,5,2,4,,,,,,5,4,4,4,2,,,,,,,,,,,5,,4,4,,4,4,4,4,4,,,,,,5,4,4,,5,4,,,,4,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:31,3/17/2023 3:34,IP Address,77.111.246.10,100,164,TRUE,3/17/2023 3:34,R_1gG52a0vqkeDwLp,,,,,37.751,-97.822,anonymous,EN,0.899999976,,0,55,,,,,,,,1,,2,,5,1,2,,4,,,,,,,2,1,,4,5,,,,,,2,,1,2,4,,,,,,2,,4,,4,,,,,,1,,4,,4,SV_ehCPpnOdI0dWLkO
3/17/2023 3:32,3/17/2023 3:35,IP Address,58.186.113.38,100,172,TRUE,3/17/2023 3:35,R_3kujEEmI09MLGCx,,,,,21.0292,105.8526,anonymous,EN,1,,0,0,,,,,,,,5,,4,4,,,,,,,5,,5,4,4,4,,,,,,,,,,2,2,2,2,2,4,,4,,,,,,,,4,,,,,,,,,,SV_ehCPpnOdI0dWLkO
